"Var1" "Freq"
"671" "2019-11-05" 3
"672" "2019-11-06" 12
"673" "2019-11-07" 9
"674" "2019-11-08" 3
"675" "2019-11-09" 6
"676" "2019-11-10" 4
"677" "2019-11-11" 6
"678" "2019-11-13" 2
"679" "2019-11-14" 8
"680" "2019-11-15" 3
"681" "2019-11-16" 1
"682" "2019-11-17" 4
"683" "2019-11-18" 3
"684" "2019-11-19" 2
"685" "2019-11-20" 5
"686" "2019-11-21" 5
"687" "2019-11-22" 8
"688" "2019-11-23" 4
"689" "2019-11-24" 4
"690" "2019-11-25" 5
"691" "2019-11-26" 3
"692" "2019-11-27" 4
"693" "2019-11-28" 5
"694" "2019-11-29" 2
"695" "2019-11-30" 2
"696" "2019-12-01" 11
"697" "2019-12-02" 7
"698" "2019-12-03" 2
"699" "2019-12-04" 6
"700" "2019-12-05" 6
"701" "2019-12-06" 5
"702" "2019-12-07" 3
"703" "2019-12-08" 6
"704" "2019-12-09" 5
"705" "2019-12-10" 9
"706" "2019-12-11" 5
"707" "2019-12-12" 5
"708" "2019-12-13" 3
"709" "2019-12-14" 5
"710" "2019-12-15" 4
"711" "2019-12-16" 14
"712" "2019-12-17" 6
"713" "2019-12-18" 5
"714" "2019-12-19" 4
"715" "2019-12-20" 6
"716" "2019-12-21" 7
"717" "2019-12-22" 9
"718" "2019-12-23" 7
"719" "2019-12-24" 8
"720" "2019-12-25" 5
"721" "2019-12-26" 6
"722" "2019-12-27" 7
"723" "2019-12-28" 2
"724" "2019-12-29" 2
"725" "2019-12-30" 5
"726" "2019-12-31" 7
"727" "2020-01-01" 9
"728" "2020-01-02" 6
"729" "2020-01-03" 9
"730" "2020-01-04" 4
"731" "2020-01-05" 2
"732" "2020-01-06" 5
"733" "2020-01-07" 5
"734" "2020-01-08" 1
"735" "2020-01-09" 6
"736" "2020-01-10" 6
"737" "2020-01-11" 5
"738" "2020-01-12" 5
"739" "2020-01-13" 10
"740" "2020-01-14" 4
"741" "2020-01-15" 4
"742" "2020-01-16" 4
"743" "2020-01-17" 6
"744" "2020-01-18" 2
"745" "2020-01-19" 3
"746" "2020-01-20" 5
"747" "2020-01-21" 3
"748" "2020-01-22" 5
"749" "2020-01-23" 5
"750" "2020-01-24" 2
"751" "2020-01-25" 4
"752" "2020-01-26" 6
"753" "2020-01-27" 6
"754" "2020-01-28" 10
"755" "2020-01-29" 2
"756" "2020-01-30" 7
"757" "2020-01-31" 3
"758" "2020-02-01" 7
"759" "2020-02-02" 6
"760" "2020-02-03" 9
"761" "2020-02-04" 6
"762" "2020-02-05" 6
"763" "2020-02-06" 9
"764" "2020-02-07" 8
"765" "2020-02-08" 5
"766" "2020-02-09" 6
"767" "2020-02-10" 6
"768" "2020-02-11" 4
"769" "2020-02-12" 4
"770" "2020-02-13" 6
"771" "2020-02-14" 8
"772" "2020-02-15" 4
"773" "2020-02-16" 4
"774" "2020-02-17" 4
"775" "2020-02-18" 4
"776" "2020-02-19" 2
"777" "2020-02-20" 3
"778" "2020-02-21" 9
"779" "2020-02-22" 5
"780" "2020-02-23" 4
"781" "2020-02-24" 10
"782" "2020-02-25" 5
"783" "2020-02-26" 4
"784" "2020-02-27" 4
"785" "2020-02-28" 5
"786" "2020-02-29" 6
"787" "2020-03-01" 11
"788" "2020-03-02" 16
"789" "2020-03-03" 15
"790" "2020-03-04" 6
"791" "2020-03-05" 8
"792" "2020-03-06" 6
"793" "2020-03-07" 6
"794" "2020-03-08" 3
"795" "2020-03-09" 5
"796" "2020-03-10" 7
"797" "2020-03-11" 5
"798" "2020-03-12" 5
"799" "2020-03-13" 10
"800" "2020-03-14" 9
"801" "2020-03-15" 3
"802" "2020-03-16" 5
"803" "2020-03-17" 11
"804" "2020-03-18" 3
"805" "2020-03-19" 2
"806" "2020-03-20" 13
"807" "2020-03-21" 4
"808" "2020-03-22" 4
"809" "2020-03-23" 6
"810" "2020-03-24" 2
"811" "2020-03-25" 5
"812" "2020-03-26" 3
"813" "2020-03-27" 3
"814" "2020-03-28" 6
"815" "2020-03-29" 3
"816" "2020-03-30" 2
"817" "2020-03-31" 5
"818" "2020-04-01" 9
"819" "2020-04-02" 2
"820" "2020-04-03" 2
