 "Train Predictions" Actuals
855 4.4577456 5
856 5.0467334 6
857 5.4534063 7
858 5.5601516 6
859 5.6868978 6
860 5.568027 2
861 5.396729 7
862 5.5629187 2
863 5.1789703 1
864 4.770117 3
865 4.358533 5
866 4.7737455 5
867 4.0773425 5
868 4.542745 3
869 4.9874854 8
870 5.4041953 2
871 5.1166544 5
872 5.160612 6
873 5.1967635 2
874 5.177309 7
875 4.972731 5
876 5.3060474 14
877 5.54921 6
878 5.382773 1
879 5.4022503 3
880 5.378512 3
881 5.417154 4
882 4.6376743 2
883 3.8374128 5
884 4.5450563 3
885 4.5587687 5
886 4.7794023 5
887 4.8051972 8
888 5.3328185 4
889 5.1802835 2
890 5.2158093 3
891 5.1818686 2
892 4.9964175 8
893 4.6284328 7
894 4.6889796 6
895 5.133116 8
896 5.4971223 3
897 5.602425 9
898 5.7289796 8
899 5.7067513 10
900 5.8009753 11
901 5.762585 4
902 5.775575 6
903 5.804051 4
904 5.717138 3
905 5.503279 4
906 5.0894995 4
907 5.123863 4
908 4.8357024 3
909 4.721699 4
910 4.888615 2
911 4.684798 1
912 4.337703 7
913 4.4490786 9
914 4.8073564 3
915 4.654901 6
916 5.188085 2
917 5.405895 6
918 5.4533668 6
919 5.0887256 5
920 5.2820563 4
921 5.0852094 3
922 5.3190393 7
923 5.3966556 5
924 5.2221575 2
925 4.9498515 2
926 4.87205 7
927 5.279575 4
928 4.816629 2
929 4.4163914 6
930 4.9572473 4
931 5.2364335 3
932 4.785934 2
933 4.617066 3
934 4.8974924 7
935 4.7197433 4
936 4.5901847 3
937 4.6754727 5
938 5.1129603 4
939 5.2676287 5
940 4.9968567 4
941 4.9895444 7
942 5.3346095 3
943 5.1295996 5
944 5.2722807 4
945 5.20152 6
946 5.3804803 3
947 4.962723 2
948 4.994975 8
949 5.1680675 9
950 5.36836 3
951 4.9969172 5
952 5.3004446 8
953 5.755693 3
954 5.444666 8
955 5.3299026 3
956 5.3686395 4
957 5.3971744 3
958 5.0217404 4
959 5.2225003 2
960 4.50581 5
961 4.7368207 4
962 4.64951 3
963 4.6989064 5
964 4.7581105 5
965 5.136585 3
966 4.906983 2
967 4.7628517 4
968 4.9634643 4
969 4.7722745 9
970 4.799736 3
971 4.821548 7
972 5.3504386 5
973 5.434836 4
974 5.5005803 2
975 5.0117936 4
976 5.243789 3
977 4.822004 5
978 4.672992 3
979 4.494373 5
980 4.924192 2
981 4.720471 4
982 4.909986 6
983 4.857369 3
984 4.889353 3
985 4.651345 6
986 5.1412215 2
987 4.960429 7
988 4.883056 4
989 5.002841 4
990 5.1749425 6
991 5.104217 10
992 5.63024 3
993 5.2297506 1
994 5.106016 3
995 5.2190995 4
996 5.125337 4
997 4.125933 4
998 4.232568 2
999 4.623861 7
1000 5.001554 5
1001 5.0077395 3
1002 4.91995 2
1003 4.810809 4
1004 5.1760607 5
1005 4.8498383 5
1006 4.656348 2
1007 4.6231713 4
1008 4.9995503 6
1009 5.150224 5
1010 5.0405827 5
1011 4.9553843 4
1012 5.2599797 1
1013 5.0861936 5
1014 5.0367856 3
1015 4.7721934 7
1016 4.7399244 5
1017 4.745645 4
1018 5.2215095 2
1019 5.0117936 7
1020 5.418988 13
1021 5.408417 4
1022 5.1940427 2
1023 5.1624923 10
1024 5.772144 5
1025 5.6598716 3
1026 5.0553637 6
1027 5.2927194 2
1028 5.3926983 3
1029 4.901302 3
1030 4.659594 3
1031 4.717584 6
1032 4.371623 8
1033 4.940657 2
1034 4.8865027 5
1035 5.1936803 3
1036 5.295199 3
1037 5.1107116 3
1038 4.4640512 6
1039 4.950232 4
1040 4.693671 2
1041 4.6718025 6
1042 5.014297 4
1043 5.141973 6
1044 5.005547 8
1045 5.217322 6
1046 5.54422 7
1047 5.564261 3
1048 5.525648 3
1049 5.4626575 3
1050 5.2135453 5
1051 5.1299624 1
1052 4.310345 1
1053 4.1183243 7
1054 4.452652 5
1055 4.585874 5
1056 4.397079 2
1057 4.7989044 2
